timestamp,open,high,low,close,volume
1752700500000,"119901.16000000","119940.00000000","119724.00000000","119799.98000000","22.88949000"
1752700560000,"119799.98000000","119860.00000000","119778.07000000","119814.37000000","6.23937000"
1752700620000,"119814.87000000","119835.95000000","119789.93000000","119818.68000000","14.99739000"
1752700680000,"119818.67000000","119820.29000000","119745.66000000","119756.47000000","5.95388000"
1752700740000,"119756.46000000","119828.99000000","119756.46000000","119828.99000000","14.21984000"
1752700800000,"119828.98000000","119863.90000000","119828.98000000","119832.41000000","13.24325000"
1752700860000,"119832.41000000","119836.27000000","119789.54000000","119789.55000000","8.72180000"
1752700920000,"119789.54000000","119820.01000000","119761.69000000","119820.00000000","9.63673000"
1752700980000,"119820.00000000","119872.10000000","119807.59000000","119871.64000000","21.34025000"
1752701040000,"119871.64000000","119871.97000000","119817.69000000","119871.97000000","20.13355000"
1752701100000,"119871.96000000","119871.97000000","119852.24000000","119852.25000000","3.81344000"
1752701160000,"119852.25000000","119875.29000000","119826.03000000","119875.28000000","21.49350000"
1752701220000,"119875.29000000","119895.92000000","119842.50000000","119881.63000000","30.21446000"
1752701280000,"119881.63000000","119954.14000000","119881.63000000","119940.78000000","12.51059000"
1752701340000,"119940.79000000","119940.79000000","119940.78000000","119940.78000000","2.39211000"
1752701400000,"119940.78000000","119950.15000000","119913.67000000","119934.04000000","16.15093000"
1752701460000,"119934.04000000","119934.05000000","119864.17000000","119898.99000000","6.28157000"
1752701520000,"119898.99000000","119902.85000000","119804.07000000","119836.19000000","6.47622000"
1752701580000,"119836.18000000","119836.19000000","119788.50000000","119794.49000000","12.33088000"
1752701640000,"119794.50000000","119800.00000000","119735.49000000","119748.01000000","49.30300000"
1752701700000,"119748.01000000","119779.99000000","119677.69000000","119677.69000000","43.89440000"
1752701760000,"119677.70000000","119688.95000000","119620.00000000","119625.99000000","46.93073000"
1752701820000,"119625.99000000","119658.80000000","119531.94000000","119547.43000000","30.37511000"
1752701880000,"119547.43000000","119588.04000000","119495.92000000","119588.03000000","61.90038000"
1752701940000,"119588.03000000","119640.22000000","119588.03000000","119628.52000000","6.75785000"
1752702000000,"119628.51000000","119628.51000000","119593.39000000","119620.90000000","4.78951000"
